Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description,Status
bluetooth-earphones-ows-lx-ows02,Bluetooth earphones,"<p>Bluetooth earphones for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,OWS-LX-OWS02,100,3974,,TRUE,FALSE,,Bluetooth earphones in Pakistan | Pak Home Essentials,"Buy Bluetooth earphones in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
bluetooth-earphones-nc3295,Bluetooth earphones,"<p>Bluetooth earphones for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,NC3295,100,1656,,TRUE,FALSE,,Bluetooth earphones in Pakistan | Pak Home Essentials,"Buy Bluetooth earphones in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
bluetooth-earphones-isb-250522-m-01,Bluetooth earphones,"<p>Bluetooth earphones for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,ISB-250522-M-01,100,1838,,TRUE,FALSE,,Bluetooth earphones in Pakistan | Pak Home Essentials,"Buy Bluetooth earphones in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
bluetooth-earphones-isb-250522-m-02,Bluetooth earphones,"<p>Bluetooth earphones for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,ISB-250522-M-02,100,2276,,TRUE,FALSE,,Bluetooth earphones in Pakistan | Pak Home Essentials,"Buy Bluetooth earphones in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
bluetooth-watch-y-s9-watch-max,Bluetooth watch,"<p>Bluetooth watch for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,Y-S9-WATCH-MAX,100,2141,,TRUE,FALSE,,Bluetooth watch in Pakistan | Pak Home Essentials,"Buy Bluetooth watch in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
bluetooth-watch-t800-ultra-tws,Bluetooth watch,"<p>Bluetooth watch for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,T800-ULTRA-TWS,100,2651,,TRUE,FALSE,,Bluetooth watch in Pakistan | Pak Home Essentials,"Buy Bluetooth watch in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
bluetooth-watch-neo-18-plus,Bluetooth watch,"<p>Bluetooth watch for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,NEO-18-PLUS,40,3157,,TRUE,FALSE,,Bluetooth watch in Pakistan | Pak Home Essentials,"Buy Bluetooth watch in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
computer-stand-l-c-004,computer stand,"<p>computer stand for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,L-C-004,100,1505,,TRUE,FALSE,,computer stand in Pakistan | Pak Home Essentials,"Buy computer stand in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
c07-22-5w-single-port-charger-a240w,C07 22.5W single-port charger,"<p>C07 22.5W single-port charger for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,A240W,50,919,,TRUE,FALSE,,C07 22.5W single-port charger in Pakistan | Pak Home Essentials,"Buy C07 22.5W single-port charger in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
2-liter-3-speed-meat-grinder-sc-8302s,2 - liter 3 - speed meat grinder,"<p>2 - liter 3 - speed meat grinder for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Power Tools,"tools-hardware, power-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,SC-8302S,40,2414,,TRUE,FALSE,,2 - liter 3 - speed meat grinder in Pakistan | Pak Home Essentials,"Buy 2 - liter 3 - speed meat grinder in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
2-liter-5-speed-meat-grinder-sc-8502,2 - liter 5 - speed meat grinder,"<p>2 - liter 5 - speed meat grinder for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Power Tools,"tools-hardware, power-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,SC-8502,40,2586,,TRUE,FALSE,,2 - liter 5 - speed meat grinder in Pakistan | Pak Home Essentials,"Buy 2 - liter 5 - speed meat grinder in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
food-chopper-sc-8303b,food chopper,"<p>food chopper for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,SC-8303B,48,3469,,TRUE,FALSE,,food chopper in Pakistan | Pak Home Essentials,"Buy food chopper in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
meat-grinder-hy-1242,meat grinder,"<p>meat grinder for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Power Tools,"tools-hardware, power-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,HY-1242,48,4666,,TRUE,FALSE,,meat grinder in Pakistan | Pak Home Essentials,"Buy meat grinder in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
air-fryer-cy-8008-ed,air fryer,"<p>air fryer for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,CY-8008-ED,48,7282,,TRUE,FALSE,,air fryer in Pakistan | Pak Home Essentials,"Buy air fryer in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
air-fryer-dr-kqzx08,air fryer,"<p>air fryer for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,DR-KQZX08,50,15796,,TRUE,FALSE,,air fryer in Pakistan | Pak Home Essentials,"Buy air fryer in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
electronic-scale-hy-5019,electronic scale,"<p>electronic scale for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,HY-5019,68,1141,,TRUE,FALSE,,electronic scale in Pakistan | Pak Home Essentials,"Buy electronic scale in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
juice-extractor-sc-242,juice extractor,"<p>juice extractor for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,SC-242,48,3515,,TRUE,FALSE,,juice extractor in Pakistan | Pak Home Essentials,"Buy juice extractor in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
